Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
0 0 0 0 0 0
1.00000000 1434.52868652 0.00022282 0.00000000 0.00000000 0.00000000
2.00000000 1449.90991211 0.00802237 0.00000000 0.00000000 0.00000000
3.00000000 1475.45397949 0.01504365 0.00000000 0.00000000 0.00000000
4.00000000 1500.66833496 0.02311268 0.00000000 0.00000000 0.00000000
5.00000000 1524.61926270 0.03041206 0.00000000 0.00000000 0.00000000
6.00000000 1553.51428223 0.03839667 0.00000000 0.00000000 0.00000000
7.00000000 1586.63903809 0.04562286 0.00000000 0.00000000 0.00000000
8.00000000 1612.62255859 0.05035464 0.00000000 0.00000000 0.00000000
9.00000000 1637.50732422 0.05673612 0.00000000 0.00000000 0.00000000
10.00000000 1671.51086426 0.06526639 0.00000000 0.00000000 0.00000000
11.00000000 1697.49450684 0.07220326 0.00000000 0.00000000 0.00000000
12.00000000 1722.65405273 0.07923531 0.00000000 0.00000000 0.00000000
13.00000000 1752.42761230 0.08203655 0.00000000 0.00000000 0.00000000
14.00000000 1777.14770508 0.08684835 0.00000000 0.00000000 0.00000000
15.00000000 1788.57385254 0.09114075 0.00000000 0.00000000 0.00000000
16.00000000 1762.42553711 0.09564462 0.00000000 0.00000000 0.00000000
17.00000000 1736.60693359 0.09661912 0.00000000 0.00000000 0.00000000
18.00000000 1711.50231934 0.09577237 0.00000000 0.00000000 0.00000000
19.00000000 1685.90356445 0.09563567 0.00000000 0.00000000 0.00000000
20.00000000 1655.74511719 0.09524336 0.00000000 0.00000000 0.00000000
21.00000000 1628.27844238 0.09520901 0.00000000 0.00000000 0.00000000
22.00000000 1603.22888184 0.09610726 0.00000000 0.00000000 0.00000000
23.00000000 1576.31152344 0.09629527 0.00000000 0.00000000 0.00000000
24.00000000 1550.82238770 0.09814037 0.00000000 0.00000000 0.00000000
25.00000000 1525.82775879 0.09955927 0.00000000 0.00000000 0.00000000
26.00000000 1500.61340332 0.09967625 0.00000000 0.00000000 0.00000000
27.00000000 1476.27795410 0.09551025 0.00000000 0.00000000 0.00000000
28.00000000 1451.39318848 0.09462642 0.00000000 0.00000000 0.00000000
29.00000000 1426.89282227 0.09262301 0.00000000 0.00000000 0.00000000
30.00000000 1402.17297363 0.09162114 0.00000000 0.00000000 0.00000000
31.00000000 1376.46423340 0.09093199 0.00000000 0.00000000 0.00000000
32.00000000 1346.30566406 0.09238724 0.00000000 0.00000000 0.00000000
33.00000000 1318.78417969 0.09331986 0.00000000 0.00000000 0.00000000
34.00000000 1289.72436523 0.09104686 0.00000000 0.00000000 0.00000000
35.00000000 1263.46630859 0.08916348 0.00000000 0.00000000 0.00000000
36.00000000 1238.63647461 0.08740073 0.00000000 0.00000000 0.00000000
37.00000000 1207.81896973 0.08716214 0.00000000 0.00000000 0.00000000
38.00000000 1183.48339844 0.08835101 0.00000000 0.00000000 0.00000000
39.00000000 1151.73193359 0.05415310 0.00000000 0.00000000 0.00000000
40.00000000 1123.82580566 0.05350586 0.00000000 0.00000000 0.00000000
41.00000000 1099.27062988 0.05123154 0.00000000 0.00000000 0.00000000
42.00000000 1067.51928711 0.04923393 0.00000000 0.00000000 0.00000000
43.00000000 1046.47973633 0.05167761 0.00000000 0.00000000 0.00000000
44.00000000 1026.86853027 0.05043559 0.00000000 0.00000000 0.00000000
45.00000000 1003.57672119 0.05014917 0.00000000 0.00000000 0.00000000
46.00000000 985.88824463 0.04336326 0.00000000 0.00000000 0.00000000
47.00000000 967.59545898 0.03701793 0.00000000 0.00000000 0.00000000
48.00000000 956.22424316 0.03154700 0.00000000 0.00000000 0.00000000
49.00000000 945.62213135 0.02800518 0.00000000 0.00000000 0.00000000
50.00000000 937.05255127 0.02517178 0.00000000 0.00000000 0.00000000
51.00000000 928.20825195 0.02236304 0.00000000 0.00000000 0.00000000
52.00000000 922.27539062 0.01825080 0.00000000 0.00000000 0.00000000
53.00000000 917.33148193 0.01325428 0.00000000 0.00000000 0.00000000
54.00000000 914.09039307 0.01830459 0.00000000 0.00000000 0.00000000
55.00000000 911.23382568 0.02355938 0.00000000 0.00000000 0.00000000
56.00000000 910.19006348 0.01928191 0.00000000 0.00000000 0.00000000
57.00000000 910.19006348 0.01569324 0.00000000 0.00000000 0.00000000
58.00000000 911.23382568 0.01137537 0.00000000 0.00000000 0.00000000
59.00000000 913.76086426 0.00702050 0.00000000 0.00000000 0.00000000
60.00000000 916.45257568 0.00363829 0.00000000 0.00000000 0.00000000
