Tarposition(deg)	position(deg)	Current(A)
0 0 0
0.00000000 6.64693117 0.00207962
0.00000000 6.70186424 0.00266458
0.00000000 6.75679827 0.00279219
0.00000000 6.81173134 0.00275915
0.00000000 6.81173134 0.00271445
0.00000000 6.86666489 0.00243584
0.00000000 6.92159796 0.00237066
0.00000000 6.97653103 0.00199983
0.00000000 7.08639812 0.00132558
0.00000000 7.08639812 0.00064860
0.00000000 7.14133167 0.00017607
0.00000000 7.19626427 0.00136703
0.00000000 7.25119781 0.00262148
0.00000000 7.30613136 0.00363645
0.00000000 7.41599846 0.00470443
0.00000000 7.47093105 0.00655869
0.00000000 7.58079815 0.00887995
0.00000000 7.63573122 0.01019221
0.00000000 7.74559832 0.01165267
0.00000000 7.80053091 0.01294946
0.00000000 7.91039801 0.01406079
0.00000000 8.02026463 0.01482858
0.00000000 8.13013077 0.01589915
0.00000000 8.29493141 0.01682733
0.00000000 8.45973110 0.01778140
0.00000000 8.62453079 0.01865843
0.00000000 8.78933048 0.01920546
0.00000000 8.95413017 0.01967562
0.00000000 9.06399727 0.02024491
0.00000000 9.22879696 0.02083453
0.00000000 9.39359665 0.02161105
0.00000000 9.55839729 0.02219683
0.00000000 9.66826344 0.02284430
0.00000000 9.88799667 0.02362533
0.00000000 10.05279732 0.02385865
0.00000000 10.32746315 0.02352725
0.00000000 10.60212994 0.02321324
0.00000000 10.98666286 0.02204272
0.00000000 11.42612839 0.02080960
0.00000000 11.86559677 0.01944354
0.00000000 12.30506325 0.01812486
0.00000000 12.68959618 0.01709497
0.00000000 13.01919556 0.01633419
0.00000000 13.40372849 0.01600374
0.00000000 13.67839527 0.01575700
0.00000000 14.00799656 0.01590364
0.00000000 14.22772884 0.01600157
0.00000000 14.39252853 0.01648837
0.00000000 14.61226273 0.01687289
0.00000000 14.88692951 0.01722776
0.00000000 15.10666180 0.01775299
0.00000000 15.32639503 0.01846714
0.00000000 15.65599537 0.01889645
0.00000000 16.04052925 0.01860875
0.00000000 16.53492928 0.01797652
0.00000000 17.02932739 0.01737674
0.00000000 17.46879578 0.01695371
0.00000000 17.90826035 0.01645312
0.00000000 18.34772873 0.01604801
0.00000000 18.73226166 0.01572260
0.00000000 19.06186104 0.01571189
0.00000000 19.28159523 0.01574969
0.00000000 19.55626106 0.01608710
0.00000000 19.77599335 0.01630321
0.00000000 19.99572754 0.01654743
0.00000000 20.21546173 0.01690668
0.00000000 20.54506111 0.01673462
0.00000000 20.92959404 0.01672617
0.00000000 21.36906052 0.01630495
0.00000000 21.91839409 0.01582746
0.00000000 22.41279411 0.01589198
0.00000000 22.85225677 0.01565995
0.00000000 23.23679161 0.01603392
0.00000000 23.56639290 0.01627932
0.00000000 23.89599419 0.01658510
0.00000000 24.11572647 0.01699364
0.00000000 24.39039230 0.01738920
0.00000000 24.61012650 0.01824780
0.00000000 24.82985878 0.01926618
0.00000000 25.10452652 0.02034702
0.00000000 25.32425880 0.02101377
0.00000000 25.65386009 0.02163022
0.00000000 25.98345947 0.02180930
0.00000000 26.36799431 0.02167576
0.00000000 26.80745697 0.02161753
0.00000000 27.35679054 0.02123554
0.00000000 27.79625893 0.02121768
0.00000000 28.18079185 0.02121465
0.00000000 28.51039505 0.02119896
0.00000000 28.83999252 0.02066619
0.00000000 29.11466026 0.02095138
0.00000000 29.44425774 0.02141672
0.00000000 29.60905838 0.02153890
0.00000000 29.82879257 0.02197815
0.00000000 29.99359131 0.02246878
0.00000000 30.21332359 0.02327334
0.00000000 30.43305969 0.02421664
0.00000000 30.70772552 0.02509829
0.00000000 30.92745972 0.02598136
0.00000000 31.25705910 0.02651254
0.00000000 31.64159203 0.02644427
0.00000000 32.24585724 0.02556097
0.00000000 32.63039017 0.02493811
0.00000000 33.06985855 0.02401188
0.00000000 33.45439148 0.02395246
0.00000000 33.78399277 0.02387908
0.00000000 34.11359024 0.02329662
0.00000000 34.44319153 0.02321701
0.00000000 34.71785355 0.02343114
0.00000000 34.99252701 0.02336097
0.00000000 35.21225739 0.02356706
0.00000000 35.43199158 0.02386911
0.00000000 35.65172577 0.02409302
0.00000000 35.98132324 0.02414184
0.00000000 36.31092453 0.02406429
0.00000000 36.69545746 0.02372565
0.00000000 37.13492203 0.02336918
0.00000000 37.62932587 0.02308128
0.00000000 38.12372208 0.02279063
0.00000000 38.50825882 0.02242493
0.00000000 38.89278793 0.02221447
0.00000000 39.22238922 0.02252843
0.00000000 39.49705505 0.02318664
0.00000000 39.77172089 0.02374934
0.00000000 39.99145508 0.02419735
0.00000000 40.21118927 0.02507235
0.00000000 40.43092346 0.02549124
0.00000000 40.65065384 0.02604993
0.00000000 40.87038803 0.02694103
0.00000000 41.14505768 0.02722355
0.00000000 41.47465515 0.02753820
0.00000000 41.96905518 0.02727117
0.00000000 42.40851974 0.02710892
0.00000000 43.12265396 0.02645688
0.00000000 43.56211853 0.02604778
0.00000000 43.94665146 0.02588289
0.00000000 44.27624893 0.02557520
0.00000000 44.66078568 0.02536957
0.00000000 44.93545532 0.02531701
0.00000000 45.15518570 0.02572419
0.00000000 45.37491608 0.02576206
0.00000000 45.59465408 0.02633659
0.00000000 45.81438446 0.02650930
0.00000000 46.03412247 0.02649491
0.00000000 46.36371994 0.02647339
0.00000000 46.69332123 0.02623750
0.00000000 47.13278580 0.02598971
0.00000000 47.57225037 0.02562713
0.00000000 48.12158585 0.02530969
0.00000000 48.56105042 0.02502602
0.00000000 49.00052261 0.02484621
0.00000000 49.38505554 0.02448161
0.00000000 49.71465683 0.02426531
0.00000000 49.98932266 0.02409292
0.00000000 50.26398468 0.02432840
0.00000000 50.53865051 0.02411238
0.00000000 50.75838470 0.02461380
0.00000000 51.08798218 0.02478114
0.00000000 51.41758728 0.02509716
0.00000000 51.74718475 0.02486644
0.00000000 52.24158859 0.02403761
0.00000000 52.73598862 0.02358543
0.00000000 53.28531647 0.02313595
0.00000000 53.72478104 0.02274530
0.00000000 54.10932159 0.02282619
0.00000000 54.49385071 0.02283121
0.00000000 54.76852036 0.02301495
0.00000000 55.09811783 0.02340632
0.00000000 55.37278366 0.02409570
0.00000000 55.59251785 0.02456060
0.00000000 55.81224823 0.02507779
0.00000000 56.03198624 0.02552991
0.00000000 56.30664825 0.02597200
0.00000000 56.58131790 0.02604418
0.00000000 56.96584320 0.02574494
0.00000000 57.46025085 0.02541860
0.00000000 57.95465088 0.02488060
0.00000000 58.44905090 0.02415564
0.00000000 58.94344711 0.02351448
0.00000000 59.43785477 0.02306759
0.00000000 59.76744843 0.02288299
0.00000000 60.15198517 0.02288953
0.00000000 60.48158264 0.02325510
0.00000000 60.70131302 0.02342786
0.00000000 60.97598648 0.02343048
0.00000000 61.30558014 0.02374620
0.00000000 61.90985107 0.02310986
0.00000000 62.23944473 0.02211705
0.00000000 62.73384857 0.02039798
0.00000000 63.17331696 0.01940071
0.00000000 63.66771698 0.01856509
0.00000000 64.16211700 0.01840517
0.00000000 64.54664612 0.01867395
0.00000000 64.87624359 0.01953285
0.00000000 65.20584869 0.02053464
0.00000000 65.48051453 0.02158054
0.00000000 65.70024109 0.02248144
0.00000000 65.86505127 0.02330129
0.00000000 66.08477783 0.02413567
0.00000000 66.30451202 0.02523177
0.00000000 66.63411713 0.02590270
0.00000000 66.85385132 0.02647445
0.00000000 67.29331207 0.02667345
0.00000000 67.78771973 0.02652585
0.00000000 68.28211212 0.02594780
0.00000000 68.72158051 0.02554193
0.00000000 69.21598053 0.02507471
0.00000000 69.54558563 0.02510020
0.00000000 69.87518311 0.02477705
0.00000000 70.20478058 0.02464618
0.00000000 70.47944641 0.02473621
0.00000000 70.69918060 0.02482390
0.00000000 70.97383881 0.02525385
0.00000000 71.13864899 0.02563401
0.00000000 71.35838318 0.02564770
0.00000000 71.57810974 0.02566900
0.00000000 71.85278320 0.02598726
0.00000000 72.18238068 0.02587330
0.00000000 72.67678070 0.02533665
0.00000000 73.17117310 0.02488341
0.00000000 73.66557312 0.02444394
0.00000000 74.15998077 0.02414813
0.00000000 74.59944916 0.02380763
0.00000000 74.98397827 0.02341061
0.00000000 75.36850739 0.02335495
0.00000000 75.64317322 0.02344849
0.00000000 75.91784668 0.02351482
0.00000000 76.13758087 0.02348683
0.00000000 76.35730743 0.02376368
0.00000000 76.57704926 0.02416660
0.00000000 76.79678345 0.02463168
0.00000000 77.07144165 0.02481886
0.00000000 77.40104675 0.02424590
0.00000000 77.78557587 0.02419278
0.00000000 78.27997589 0.02366484
0.00000000 78.77438354 0.02338004
0.00000000 79.21384430 0.02296818
0.00000000 79.65331268 0.02245116
0.00000000 80.03784180 0.02218326
0.00000000 80.36743927 0.02181468
0.00000000 80.80691528 0.02189091
0.00000000 81.08157349 0.02223573
0.00000000 81.35623932 0.02273769
0.00000000 81.57597351 0.02316163
0.00000000 81.79571533 0.02351078
0.00000000 82.01543427 0.02406291
0.00000000 82.34504700 0.02385542
0.00000000 82.67463684 0.02372596
0.00000000 83.05917358 0.02339517
0.00000000 83.60851288 0.02270986
0.00000000 84.10290527 0.02251067
0.00000000 84.54238129 0.02280320
0.00000000 84.98184204 0.02266995
0.00000000 85.31144714 0.02275326
0.00000000 85.64104462 0.02291537
0.00000000 85.97064209 0.02330472
0.00000000 86.24530792 0.02370226
0.00000000 86.46504211 0.02405053
0.00000000 86.73971558 0.02438735
0.00000000 87.01436615 0.02453102
0.00000000 87.28903961 0.02443621
0.00000000 87.67357635 0.02405898
0.00000000 88.11303711 0.02321337
0.00000000 88.66237640 0.02212412
0.00000000 89.15676880 0.02188511
0.00000000 89.65117645 0.02172908
0.00000000 90.03571320 0.02171230
0.00000000 90.53010559 0.02184371
0.00000000 90.80476379 0.02219170
0.00000000 91.13437653 0.02273617
0.00000000 91.35410309 0.02309466
0.00000000 91.62876892 0.02385154
0.00000000 91.84851074 0.02475047
0.00000000 92.06824493 0.02528248
0.00000000 92.28797150 0.02589959
0.00000000 92.56263733 0.02598688
0.00000000 92.89224243 0.02584032
0.00000000 93.33171082 0.02531642
0.00000000 93.82610321 0.02451963
0.00000000 94.43036652 0.02392307
0.00000000 94.92477417 0.02346311
0.00000000 95.41916656 0.02327465
0.00000000 95.80371094 0.02318068
0.00000000 96.07836151 0.02303672
0.00000000 96.40797424 0.02295934
0.00000000 96.68263245 0.02339486
0.00000000 96.95730591 0.02339313
0.00000000 97.23197174 0.02356912
0.00000000 97.50662994 0.02331718
0.00000000 97.83623505 0.02321473
0.00000000 98.22077179 0.02229577
0.00000000 98.71517181 0.02134318
0.00000000 99.26450348 0.02043314
0.00000000 99.75890350 0.02033145
0.00000000 100.19837952 0.02079410
0.00000000 100.58290863 0.02117164
0.00000000 100.96743011 0.02165938
0.00000000 101.29703522 0.02214584
0.00000000 101.57170105 0.02274968
0.00000000 101.79143524 0.02371960
0.00000000 102.01116943 0.02416672
0.00000000 102.23090363 0.02462253
0.00000000 102.45063782 0.02492914
0.00000000 102.72530365 0.02529602
0.00000000 103.10983276 0.02522748
0.00000000 103.43943787 0.02478508
0.00000000 104.09863281 0.02427815
0.00000000 104.59303284 0.02406664
0.00000000 105.03249359 0.02391018
0.00000000 105.41703796 0.02410458
0.00000000 105.74662781 0.02497800
0.00000000 105.96636963 0.02598956
0.00000000 106.13117218 0.02712503
0.00000000 106.29596710 0.02843338
0.00000000 106.40583038 0.02963107
0.00000000 106.51570892 0.03116897
0.00000000 106.57063293 0.03262665
0.00000000 106.68051147 0.03432088
0.00000000 106.73544312 0.03603965
0.00000000 106.84529877 0.03871487
0.00000000 106.90023804 0.04176989
0.00000000 106.95516968 0.04527489
0.00000000 106.95516968 0.04829692
0.00000000 107.01009369 0.05124868
0.00000000 107.06503296 0.05383391
0.00000000 107.11997223 0.05600205
0.00000000 107.17490387 0.05781081
0.00000000 107.22982788 0.05952251
0.00000000 107.28476715 0.06092208
0.00000000 107.33970642 0.06230414
0.00000000 107.39463806 0.06313185
0.00000000 107.50450134 0.06384749
0.00000000 107.61437225 0.06405125
0.00000000 107.72424316 0.06459544
0.00000000 107.88903809 0.06449922
0.00000000 108.05383301 0.06442839
0.00000000 108.27356720 0.06345580
0.00000000 108.60316467 0.06203601
0.00000000 108.93277740 0.06019190
0.00000000 109.37223816 0.05787400
0.00000000 109.81170654 0.05591255
0.00000000 110.19623566 0.05422344
0.00000000 110.52584076 0.05222335
0.00000000 110.91036224 0.05048579
0.00000000 111.29489899 0.04820053
0.00000000 111.73436737 0.04605456
0.00000000 112.17383575 0.04372040
0.00000000 112.72316742 0.04159009
0.00000000 113.21757507 0.03879195
0.00000000 113.87676239 0.03516521
0.00000000 114.53596497 0.03091382
0.00000000 115.19516754 0.02743930
0.00000000 115.79943085 0.02482482
0.00000000 116.34877014 0.02341294
0.00000000 116.89810181 0.02286816
0.00000000 117.28263092 0.02247346
0.00000000 117.66717529 0.02238790
0.00000000 118.16156006 0.02199442
0.00000000 118.60103607 0.02123774
0.00000000 119.09543610 0.01975426
0.00000000 119.64476013 0.01827091
0.00000000 120.19409943 0.01701303
0.00000000 120.68850708 0.01605019
0.00000000 121.23783112 0.01570479
0.00000000 121.67729950 0.01621445
0.00000000 122.17169952 0.01754470
0.00000000 122.50130463 0.01925995
0.00000000 122.77595520 0.02125896
0.00000000 123.05062866 0.02272671
0.00000000 123.38023376 0.02319423
0.00000000 123.70983887 0.02334204
0.00000000 124.14930725 0.02245848
0.00000000 124.64369965 0.02142493
0.00000000 125.19303894 0.02072072
0.00000000 125.74236298 0.02062731
0.00000000 126.12689209 0.02113014
0.00000000 126.51142883 0.02163639
0.00000000 126.84103394 0.02233569
0.00000000 127.17062378 0.02337094
0.00000000 127.50022888 0.02424152
0.00000000 127.77490234 0.02525692
0.00000000 127.99462891 0.02583372
0.00000000 128.26930237 0.02621746
0.00000000 128.59890747 0.02590262
0.00000000 128.98342896 0.02523347
0.00000000 129.42291260 0.02412179
0.00000000 130.02716064 0.02286371
0.00000000 130.52156067 0.02241006
0.00000000 130.96102905 0.02224768
0.00000000 131.45542908 0.02249588
0.00000000 131.78503418 0.02243009
0.00000000 132.11462402 0.02323973
0.00000000 132.44422913 0.02403685
0.00000000 132.66397095 0.02489981
0.00000000 132.93862915 0.02545797
0.00000000 133.15835571 0.02583545
0.00000000 133.37809753 0.02634413
0.00000000 133.65275574 0.02639774
0.00000000 133.92742920 0.02624428
0.00000000 134.36689758 0.02569028
0.00000000 134.91622925 0.02510664
0.00000000 135.41062927 0.02524742
0.00000000 135.85009766 0.02545953
0.00000000 136.28955078 0.02553709
0.00000000 136.61915588 0.02542507
0.00000000 136.94877625 0.02549156
0.00000000 137.22341919 0.02569314
0.00000000 137.49809265 0.02546253
0.00000000 137.71781921 0.02597523
0.00000000 137.93757629 0.02640611
0.00000000 138.15728760 0.02693316
0.00000000 138.43196106 0.02738861
0.00000000 138.65168762 0.02796993
0.00000000 138.98129272 0.02814386
0.00000000 139.25596619 0.02839974
0.00000000 139.69541931 0.02826938
0.00000000 140.13488770 0.02776839
0.00000000 140.57437134 0.02749905
0.00000000 140.95889282 0.02704135
0.00000000 141.39836121 0.02672368
0.00000000 141.78289795 0.02666029
0.00000000 142.11248779 0.02662756
0.00000000 142.44209290 0.02654291
0.00000000 142.77168274 0.02650755
0.00000000 142.99142456 0.02680985
0.00000000 143.21116638 0.02665265
0.00000000 143.43087769 0.02692373
0.00000000 143.70556641 0.02746912
0.00000000 143.92529297 0.02785644
0.00000000 144.19995117 0.02828041
0.00000000 144.58448792 0.02820084
0.00000000 144.96902466 0.02799357
0.00000000 145.40847778 0.02784687
0.00000000 145.95782471 0.02755544
0.00000000 146.39727783 0.02697079
0.00000000 146.83674622 0.02686577
0.00000000 147.27622986 0.02658582
0.00000000 147.60581970 0.02676988
0.00000000 147.99035645 0.02719891
0.00000000 148.21008301 0.02757926
0.00000000 148.42982483 0.02805892
0.00000000 148.70448303 0.02837907
0.00000000 148.92422485 0.02847178
0.00000000 149.19889832 0.02803675
0.00000000 149.58341980 0.02756829
0.00000000 149.96795654 0.02686315
0.00000000 150.46234131 0.02624413
0.00000000 150.90182495 0.02551482
0.00000000 151.34129333 0.02531355
0.00000000 151.72581482 0.02515728
